ID,Data_Source_Type,Dataset_Size_Raw,Dataset_Size_Category,Validation_Strategy,Data_Availability,Data_Unit,Validation_Standardized,Data_Unit_Standardized,Src_Project_Records_Tabular,Src_Site_Images_Video,Src_Simulation_Synthetic_Data,Src_Survey_Interview,Src_Text_Documents,Src_Sensor_IoT_Streams,Src_Public_Benchmark_Dataset,Src_BIM_Models,Src_Bibliometric_Literature_Data,Src_Point_Cloud_LiDAR,Src_Audio_Data,Num_Data_Sources,Val_Ablation_Study,Val_Case_Study,Val_Comparison_with_Baseline,Val_Cross_Project_Validation,Val_Cross_Validation_K_Fold_LOO,Val_Experimental_Field_Testing,Val_Expert_Judgment,Val_Explainability_Analysis_SHAP_XAI,Val_Focus_Group,Val_Not_Applicable_Review_Conceptual,Val_Qualitative_Analysis,Val_SEM_PLS_Analysis,Val_Sensitivity_Analysis,Val_Simulation,Val_Statistical_Analysis,Val_Survey_Analysis,Val_Train_Test_Split,Val_Train_Val_Test_Split,Val_Transfer_Learning,Validation_Decomposed,Num_Validation_Components
80,Survey/Interview,101 respondents,Small (<500),"Survey Analysis (Wilcoxon, Mann-Whitney, Spearman)",Private/Proprietary,Survey Responses,Survey Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Survey Analysis,1
81,Survey/Interview,293 respondents from 23 projects,Small (<500),Multiple Combined (SEM Analysis; Case Study),Private/Proprietary,Survey Responses,Multiple Combined,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Case Study; SEM/PLS Analysis,2
82,Project Records/Tabular; Survey/Interview,Not quantified (historical data + expert opinions),Not Applicable,Case Study,Not Stated,Projects,Case Study,Structured Records,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
83,Sensor/IoT Streams; Simulation/Synthetic Data,Not quantified (operational + simulated data),Not Reported,Multiple Combined (Simulation; Comparison with Baseline Models),Private/Proprietary,Sensor Readings,Multiple Combined,Sensor/Time-Series,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Comparison with Baseline; Simulation,2
84,Sensor/IoT Streams; Simulation/Synthetic Data,Not quantified (operational tunneling data),Not Reported,Multiple Combined (Simulation; Comparison with Baseline Models),Private/Proprietary,Sensor Readings,Multiple Combined,Sensor/Time-Series,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Comparison with Baseline; Simulation,2
85,Simulation/Synthetic Data; Sensor/IoT Streams,"1,000 FEM samples + 300 monitoring samples","Medium (500-5,000)",Multiple Combined (Transfer Learning; Comparison with Baseline Models; Sensitivity Analysis),Private/Proprietary,Records/Rows,Multiple Combined,Structured Records,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Comparison with Baseline; Sensitivity Analysis; Transfer Learning,3
86,Bibliometric/Literature Data,Not quantified (2012-2022 literature),Not Applicable,Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
87,Site Images/Video; Point Cloud/LiDAR; Simulation/Synthetic Data,Not quantified (drone imagery + point clouds),Not Reported,Multiple Combined (Simulation; Laboratory Experiment; Comparison with Baseline Models),Not Stated,Images,Multiple Combined,Visual Data,0,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Comparison with Baseline; Experimental/Field Testing; Simulation,3
88,Bibliometric/Literature Data,337 publications,Small (<500),Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
89,Site Images/Video; Public Benchmark Dataset,"227 images (1,277 workers)",Small (<500),Comparison with Baseline Models,Mixed (Public + Private),Images,Comparison with Baseline,Visual Data,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
90,Site Images/Video; Simulation/Synthetic Data,"1,030 images (augmented to 11,069)","Large (5,001-50,000)",Multiple Combined (Case Study; Comparison with Baseline Models),Private/Proprietary,Images,Multiple Combined,Visual Data,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Comparison with Baseline,2
91,Survey/Interview; Text Documents,Not quantified (mixed methods),Small (<500),Multiple Combined (Case Study; Experimental Comparison; Expert Judgment),Private/Proprietary,Survey Responses,Multiple Combined,Survey/Interview Data,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Experimental/Field Testing; Expert Judgment,3
92,Site Images/Video; Sensor/IoT Streams,"94,808 video frames","Very Large (>50,000)",Case Study (field validation),Private/Proprietary,Video Frames,Case Study,Visual Data,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
93,Text Documents; Public Benchmark Dataset,OSHA safety documentation (not quantified),Not Reported,Multiple Combined (Comparison with Baseline Models; Expert Evaluation),Public,Text Descriptions,Multiple Combined,Literature/Text,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Expert Judgment,2
94,Project Records/Tabular,"25,500+ data points","Large (5,001-50,000)",Comparison with Baseline Models,Public,Records/Rows,Comparison with Baseline,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
95,Project Records/Tabular; Public Benchmark Dataset,"218 estimates + 1,030 instances","Medium (500-5,000)",Multiple Combined (Leave-One-Out CV; Comparison with Baseline Models),Mixed (Public + Private),Records/Rows,Multiple Combined,Structured Records,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Cross-Validation (K-Fold/LOO),2
96,Simulation/Synthetic Data,"100,000 simulation cycles","Very Large (>50,000)",Simulation,Not Stated,Records/Rows,Simulation,Structured Records,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Simulation,1
97,Project Records/Tabular,"12,150 activities across 179 weeks","Large (5,001-50,000)",Train-Test Split (80/20),Private/Proprietary,Records/Rows,Train-Test Split,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
98,Survey/Interview; Text Documents,16 expert + 1 AI responses; 19 reviewers,Small (<500),Experimental Design (blind peer review comparison),Private/Proprietary,Survey Responses,Experimental Design,Survey/Interview Data,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental/Field Testing,1
99,Site Images/Video; Sensor/IoT Streams; Survey/Interview,35 participants,Small (<500),Experimental Design (randomized controlled),Mixed (Public + Private),Survey Responses,Experimental Design,Survey/Interview Data,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental/Field Testing,1
100,Survey/Interview,7 interviews + 51 survey responses,Small (<500),Multiple Combined (Grounded Theory; Survey Analysis),Private/Proprietary,Survey Responses,Multiple Combined,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Qualitative Analysis; Survey Analysis,2
101,Survey/Interview,10 experts + 10 ChatGPT sessions; 178 questions,Small (<500),Experimental Design (expert vs AI comparison),Private/Proprietary,Survey Responses,Experimental Design,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental/Field Testing,1
102,Project Records/Tabular,30 projects (426 tracking periods),Small (<500),Multiple Combined (Train-Test Split; Comparison with Baseline Models; SHAP analysis),Not Stated,Projects,Multiple Combined,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Explainability Analysis (SHAP/XAI); Train-Test Split,3
103,Sensor/IoT Streams; Site Images/Video; Public Benchmark Dataset,KITTI dataset + field test data,Not Reported,Multiple Combined (Comparison with Baseline; Field Testing),Mixed (Public + Private),Sensor Readings,Multiple Combined,Sensor/Time-Series,0,1,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Experimental/Field Testing,2
104,Site Images/Video; Public Benchmark Dataset,"9,053 images (15,435 instances; augmented to 30,000+)","Large (5,001-50,000)",Comparison with Baseline Models (8 models),Public,Images,Comparison with Baseline,Visual Data,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
105,Survey/Interview,1 case study project ($110M),Not Applicable,Case Study (semi-structured interviews),Private/Proprietary,Interview Transcripts,Case Study,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
106,Project Records/Tabular; Simulation/Synthetic Data,100 projects + 401 simulated scenarios,Small (<500),Multiple Combined (Comparison with MLR; Sensitivity Analysis),Private/Proprietary,Projects,Multiple Combined,Structured Records,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Comparison with Baseline; Sensitivity Analysis,2
107,Survey/Interview,310 respondents,Small (<500),SEM Analysis (EFA + CFA + SMA),Private/Proprietary,Survey Responses,SEM/PLS Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SEM/PLS Analysis,1
108,Bibliometric/Literature Data,578 papers (83 reviewed in depth),"Medium (500-5,000)",Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
109,Project Records/Tabular; Simulation/Synthetic Data,"180 cases (1,080 total with design variants)","Medium (500-5,000)",Train-Test Split,Not Stated,Records/Rows,Train-Test Split,Structured Records,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
110,Text Documents; Public Benchmark Dataset,800 accident reports,"Medium (500-5,000)",Multiple Combined (Manual Validation by 3 researchers; Comparison with Baseline),Public,Reports/Documents,Multiple Combined,Literature/Text,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Expert Judgment,2
111,Survey/Interview; Simulation/Synthetic Data,31 participants,Small (<500),Survey Analysis (questionnaire evaluation),Private/Proprietary,Survey Responses,Survey Analysis,Survey/Interview Data,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Survey Analysis,1
112,Bibliometric/Literature Data,428 articles,Small (<500),Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
113,Text Documents,300 court cases,Small (<500),Train-Test Split (70/30),Not Stated,Reports/Documents,Train-Test Split,Literature/Text,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
114,Project Records/Tabular,217 dynamic load tests,Small (<500),Multiple Combined (K-Fold CV; Comparison with Baseline Models; SHAP analysis),Private/Proprietary,Experimental Specimens,Multiple Combined,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Cross-Validation (K-Fold/LOO); Explainability Analysis (SHAP/XAI),3
115,Project Records/Tabular,54 projects,Small (<500),Train-Val-Test Split (60/20/20),Private/Proprietary,Projects,Train-Val-Test Split,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Train-Val-Test Split,1
116,Simulation/Synthetic Data,Not quantified (geometric specifications),Not Applicable,Multiple Combined (Simulation; Case Study),Not Stated,Design Parameters,Multiple Combined,BIM/Design Data,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Case Study; Simulation,2
117,BIM Models; Project Records/Tabular,Not quantified (BIM pipe system data),Not Reported,Case Study,Private/Proprietary,BIM Objects/Elements,Case Study,BIM/Design Data,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
118,Site Images/Video,"5,277 masks (Dataset 1) + 3,129 images (Dataset 2)","Large (5,001-50,000)",Multiple Combined (Train-Test Split; Comparison with Baseline Models),Not Stated,Images,Multiple Combined,Visual Data,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
119,Survey/Interview; BIM Models; Text Documents,14 interviews; 3 project case studies,Small (<500),Case Study (within-case and cross-case analysis),Private/Proprietary,Interview Transcripts,Case Study,Survey/Interview Data,0,0,0,1,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
120,Project Records/Tabular; Public Benchmark Dataset,"1,458 project instances with 8,751 parameters","Medium (500-5,000)",Train-Test Split,Public,Projects,Train-Test Split,Structured Records,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
121,Simulation/Synthetic Data; Sensor/IoT Streams,"20,000 simulated data points","Large (5,001-50,000)",Multiple Combined (Train-Test Split; Field Validation; Comparison with Baseline),Not Stated,Records/Rows,Multiple Combined,Structured Records,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Experimental/Field Testing; Train-Test Split,3
122,Site Images/Video; Point Cloud/LiDAR,Not quantified (camera + lidar streams),Not Reported,Comparison with Baseline (FARO ground truth),Private/Proprietary,Point Cloud Data,Comparison with Baseline,Visual Data,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
123,Text Documents; Survey/Interview,162 participants,Small (<500),Experimental Design (randomized controlled ANOVA),Private/Proprietary,Survey Responses,Experimental Design,Survey/Interview Data,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental/Field Testing,1
124,Public Benchmark Dataset; Simulation/Synthetic Data,"1,030 samples (enriched with synthetic data)","Medium (500-5,000)",Multiple Combined (K-Fold CV; Comparison with Baseline Models),Public,Records/Rows,Multiple Combined,Structured Records,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Cross-Validation (K-Fold/LOO),2
125,BIM Models; Text Documents,"2,065 queries + 50 out-of-domain queries","Medium (500-5,000)",Multiple Combined (Train-Test Split; Comparison with Baseline Models),Not Stated,Text Descriptions,Multiple Combined,Literature/Text,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
126,Sensor/IoT Streams,"12,190 excavation data samples","Large (5,001-50,000)",Multiple Combined (Train-Test Split; Cross-project Validation; SHAP analysis),Private/Proprietary,Records/Rows,Multiple Combined,Structured Records,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Cross-Project Validation; Explainability Analysis (SHAP/XAI); Train-Test Split,3
127,Simulation/Synthetic Data; Public Benchmark Dataset,"30 instances + 1,030 instances","Medium (500-5,000)",Comparison with Baseline Models (MLR),Mixed (Public + Private),Records/Rows,Comparison with Baseline,Structured Records,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
128,Project Records/Tabular; Sensor/IoT Streams,3 engineering projects (drilling survey data),Small (<500),Multiple Combined (Train-Test Split; Comparison with Baseline Models),Private/Proprietary,Records/Rows,Multiple Combined,Structured Records,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
129,Survey/Interview,336 respondents,Small (<500),PLS-SEM Analysis,Private/Proprietary,Survey Responses,SEM/PLS Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SEM/PLS Analysis,1
130,Bibliometric/Literature Data,115 articles,Small (<500),Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
131,Bibliometric/Literature Data,59 articles,Small (<500),Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
132,Bibliometric/Literature Data,60 articles,Small (<500),Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
133,Survey/Interview,296 survey + 15 interviews,Small (<500),Multiple Combined (PLS-SEM; Grounded Theory),Private/Proprietary,Survey Responses,Multiple Combined,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Qualitative Analysis; SEM/PLS Analysis,2
134,Simulation/Synthetic Data,FEM simulation (10 frequencies x 5 locations x 5 damage levels),Small (<500),Case Study (simulation-based),Not Stated,Records/Rows,Case Study,Structured Records,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
135,Text Documents,Not quantified (incident narratives),Not Reported,Case Study,Not Stated,Reports/Documents,Case Study,Literature/Text,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
136,Simulation/Synthetic Data; Point Cloud/LiDAR; Sensor/IoT Streams,Not quantified (simulation environments),Not Applicable,Simulation (physics-based test cases),Not Stated,Sensor Readings,Simulation,Sensor/Time-Series,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Simulation,1
137,Bibliometric/Literature Data,Not quantified (literature review),Not Applicable,Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
138,Project Records/Tabular; Simulation/Synthetic Data,Not quantified (deprivation data + grid layouts),Not Reported,Case Study,Public,Records/Rows,Case Study,Structured Records,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
139,Survey/Interview,32 expert interviews,Small (<500),Thematic Analysis (NVivo),Private/Proprietary,Interview Transcripts,Qualitative Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Qualitative Analysis,1
140,Site Images/Video; Simulation/Synthetic Data,"96,760 floor plans (21M+ images)","Very Large (>50,000)",Multiple Combined (Train-Test Split; Comparison with Baseline Models),Not Stated,Images,Multiple Combined,Visual Data,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
141,Site Images/Video,"659 images (Dataset 1) + 5,000 images (Dataset 2)","Large (5,001-50,000)",Multiple Combined (Train-Test Split; Comparison with Baseline Models),Mixed (Public + Private),Images,Multiple Combined,Visual Data,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
142,Site Images/Video,"3,354 images","Medium (500-5,000)",Multiple Combined (Train-Test Split; Comparison with Baseline Models),Private/Proprietary,Images,Multiple Combined,Visual Data,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
143,Sensor/IoT Streams,"23,316 rows (Line 10) + 1,200 rows (Line 16)","Large (5,001-50,000)",Multiple Combined (Simulation; Cross-project Validation; Comparison with Baseline),Private/Proprietary,Records/Rows,Multiple Combined,Structured Records,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Comparison with Baseline; Cross-Project Validation; Simulation,3
144,Site Images/Video; Simulation/Synthetic Data,"1,300 real images + 12,000 synthetic images","Large (5,001-50,000)",Multiple Combined (Train-Test Split; Comparison with 9 Baseline Models),Private/Proprietary,Images,Multiple Combined,Visual Data,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
145,Sensor/IoT Streams,"86,994 data points","Very Large (>50,000)",Case Study (prototype validation),Private/Proprietary,Sensor Readings,Case Study,Sensor/Time-Series,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
146,Simulation/Synthetic Data,"34,800 generated drawings","Large (5,001-50,000)",Multiple Combined (Train-Test Split; Comparison with Baseline; XAI analysis),Not Stated,Images,Multiple Combined,Visual Data,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Explainability Analysis (SHAP/XAI); Train-Test Split,3
147,BIM Models; Project Records/Tabular; Text Documents,1 PSH project (Fumin),Not Applicable,Case Study,Private/Proprietary,BIM Objects/Elements,Case Study,BIM/Design Data,1,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
148,BIM Models; Text Documents; Project Records/Tabular,Not quantified (BIM + design parameters),Not Applicable,Case Study,Not Stated,BIM Objects/Elements,Case Study,BIM/Design Data,1,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
